user_id,count,size
93636,149,146.0
88149,149,115.0
55140,149,134.0
91182,149,140.0
93033,149,64.0
29510,149,75.0
100811,149,124.0
101061,149,59.0
62116,149,102.0
82553,149,68.0
105796,149,117.0
104243,149,132.0
98232,149,98.0
83268,149,104.0
66587,148,79.0
78812,148,125.0
76611,148,90.0
93123,148,94.0
42224,148,90.0
75176,148,52.0
100450,148,121.0
87525,148,62.0
101293,148,135.0
8300,148,100.0
90248,148,64.0
98283,148,129.0
88244,148,100.0
93706,147,74.0
59283,147,93.0
94485,147,52.0
90528,147,123.0
95787,147,121.0
87353,147,87.0
86437,147,82.0
92900,147,113.0
81749,147,56.0
63785,147,101.0
53510,147,60.0
92918,147,129.0
46124,147,60.0
96470,147,111.0
86434,146,67.0
92072,146,123.0
106724,146,65.0
86611,146,91.0
83759,146,150.0
23389,146,110.0
66553,146,108.0
28094,146,111.0
22748,146,100.0
83907,146,87.0
102804,146,54.0
100455,146,120.0
99866,146,50.0
72925,145,126.0
76875,145,116.0
47818,145,78.0
107661,145,61.0
94661,145,128.0
95344,145,77.0
101891,145,107.0
102768,145,136.0
14110,144,129.0
85977,144,119.0
111950,144,90.0
92726,144,127.0
104107,144,105.0
34976,144,91.0
104034,144,95.0
85631,144,78.0
63258,144,50.0
19286,144,139.0
103249,144,105.0
67571,144,100.0
91424,144,88.0
65010,144,76.0
88802,144,106.0
94440,144,86.0
104975,144,126.0
100178,144,89.0
89199,143,110.0
22281,143,145.0
51307,143,137.0
92102,143,55.0
96616,143,94.0
106188,143,59.0
112187,143,125.0
58910,143,112.0
87625,143,119.0
72242,143,131.0
75182,143,53.0
95191,143,66.0
59311,143,149.0
101908,143,106.0
107963,143,109.0
20258,143,89.0
77714,143,84.0
74371,143,66.0
60214,143,134.0
38119,143,120.0
95020,143,107.0
51416,143,56.0
87479,143,140.0
83874,142,85.0
103462,142,148.0
86729,142,110.0
91033,142,127.0
75825,142,68.0
86482,142,137.0
29477,142,133.0
69765,142,75.0
93041,142,73.0
71666,142,148.0
65372,142,101.0
105565,142,126.0
111093,142,141.0
63867,142,103.0
99362,142,88.0
113227,142,138.0
77938,142,99.0
98611,142,58.0
33517,142,64.0
107673,142,113.0
105770,142,139.0
110549,142,144.0
62223,141,74.0
13915,141,56.0
76532,141,116.0
93053,141,71.0
91066,141,92.0
17057,141,96.0
105614,141,126.0
88835,141,71.0
110307,141,143.0
78530,141,94.0
113664,141,99.0
72133,141,66.0
86852,141,62.0
34275,141,56.0
84779,141,110.0
70617,140,100.0
80941,140,99.0
45314,140,99.0
94830,140,137.0
115438,140,148.0
53487,140,108.0
26393,140,93.0
116187,140,121.0
94807,140,139.0
112202,140,57.0
63681,140,127.0
107491,140,102.0
57789,140,62.0
86353,140,82.0
41517,140,141.0
67143,140,126.0
108512,140,59.0
97855,140,102.0
112162,139,77.0
89025,139,99.0
116900,139,145.0
61261,139,141.0
92124,139,109.0
117638,139,52.0
72688,139,129.0
49004,139,103.0
104512,139,60.0
107187,139,50.0
114951,139,98.0
56894,139,135.0
53115,139,95.0
105169,139,93.0
104203,139,56.0
84134,139,74.0
64920,139,89.0
99043,139,57.0
100546,139,80.0
97595,139,52.0
87318,138,138.0
118487,138,101.0
97972,138,147.0
93865,138,133.0
41676,138,63.0
86715,138,107.0
115324,138,81.0
114210,138,101.0
46215,138,98.0
14544,138,100.0
89921,138,71.0
103278,138,77.0
109345,138,142.0
57926,138,120.0
47414,137,131.0
70315,137,57.0
66072,137,146.0
76913,137,73.0
112954,137,91.0
62466,137,114.0
106330,137,149.0
102584,137,105.0
40121,137,129.0
51168,137,70.0
110805,137,92.0
113054,137,84.0
