user_id,count,size
93636,149,74.0
88149,149,64.0
55140,149,81.0
91182,149,80.0
80062,149,91.0
93033,149,94.0
103756,149,69.0
88044,149,83.0
105393,149,73.0
80408,149,146.0
71590,149,139.0
29510,149,80.0
100811,149,94.0
101061,149,127.0
62116,149,78.0
82553,149,112.0
105796,149,70.0
94514,149,56.0
105891,149,56.0
104243,149,79.0
99036,149,79.0
98232,149,68.0
91411,149,99.0
5231,149,100.0
83268,149,86.0
101137,148,119.0
77820,148,80.0
107161,148,118.0
66152,148,116.0
10203,148,58.0
100365,148,115.0
66587,148,122.0
78812,148,84.0
105042,148,144.0
76611,148,99.0
93123,148,128.0
59888,148,123.0
103048,148,90.0
42224,148,112.0
75176,148,87.0
100450,148,93.0
87525,148,94.0
101293,148,50.0
8300,148,115.0
59077,148,122.0
42747,148,53.0
56971,148,55.0
90248,148,86.0
40161,148,112.0
60877,148,117.0
71496,148,71.0
90263,148,133.0
98283,148,50.0
67932,148,150.0
103079,148,146.0
90257,148,58.0
54509,148,85.0
93400,148,118.0
9437,148,105.0
88244,148,145.0
94704,147,128.0
43381,147,142.0
99920,147,89.0
93706,147,134.0
59283,147,135.0
94485,147,138.0
24520,147,100.0
67760,147,51.0
90528,147,101.0
95787,147,75.0
87353,147,81.0
86437,147,95.0
92900,147,100.0
24492,147,58.0
98777,147,50.0
84954,147,126.0
81749,147,74.0
104296,147,87.0
63785,147,131.0
97808,147,93.0
102962,147,96.0
53510,147,125.0
95183,147,54.0
64838,147,132.0
92485,147,76.0
92918,147,82.0
46124,147,133.0
96470,147,120.0
102332,146,77.0
86434,146,134.0
82096,146,53.0
82325,146,115.0
92072,146,61.0
106640,146,138.0
46704,146,135.0
69893,146,111.0
106724,146,107.0
86611,146,84.0
98389,146,60.0
85741,146,110.0
48754,146,125.0
99785,146,107.0
83759,146,111.0
23389,146,83.0
92911,146,72.0
66553,146,141.0
85610,146,113.0
28094,146,135.0
93700,146,83.0
52195,146,75.0
85311,146,137.0
