user_id,count,size,flag
93636,149,74.0,20.27027027027027
88149,149,64.0,23.4375
55140,149,81.0,18.51851851851852
91182,149,80.0,18.75
80062,149,91.0,16.483516483516482
93033,149,94.0,15.957446808510639
103756,149,69.0,21.73913043478261
88044,149,83.0,18.072289156626507
105393,149,73.0,20.54794520547945
80408,149,146.0,10.273972602739725
71590,149,139.0,10.79136690647482
29510,149,80.0,18.75
100811,149,94.0,15.957446808510639
101061,149,127.0,11.811023622047244
62116,149,78.0,19.23076923076923
82553,149,112.0,13.392857142857142
105796,149,70.0,21.428571428571427
94514,149,56.0,26.785714285714285
105891,149,56.0,26.785714285714285
104243,149,79.0,18.9873417721519
99036,149,79.0,18.9873417721519
98232,149,68.0,22.058823529411764
91411,149,99.0,15.151515151515152
5231,149,100.0,15.0
83268,149,86.0,17.441860465116278
101137,148,119.0,12.690211219622984
77820,148,80.0,18.87668918918919
107161,148,118.0,12.797755382501146
66152,148,116.0,13.018406337371855
10203,148,58.0,26.03681267474371
100365,148,115.0,13.131609870740306
66587,148,122.0,12.378156845369961
78812,148,84.0,17.977799227799228
105042,148,144.0,10.48704954954955
76611,148,99.0,15.253890253890255
93123,148,128.0,11.797930743243244
59888,148,123.0,12.277521423862888
103048,148,90.0,16.77927927927928
42224,148,112.0,13.483349420849422
75176,148,87.0,17.35787511649581
100450,148,93.0,16.238012205754142
87525,148,94.0,16.06526739505463
101293,148,50.0,30.202702702702705
8300,148,115.0,13.131609870740306
59077,148,122.0,12.378156845369961
42747,148,53.0,28.4931157572667
56971,148,55.0,27.45700245700246
90248,148,86.0,17.55971087366436
40161,148,112.0,13.483349420849422
60877,148,117.0,12.907137907137908
71496,148,71.0,21.269508945565285
90263,148,133.0,11.35439951229425
98283,148,50.0,30.202702702702705
67932,148,150.0,10.067567567567568
103079,148,146.0,10.343391336542021
90257,148,58.0,26.03681267474371
54509,148,85.0,17.766295707472178
93400,148,118.0,12.797755382501146
9437,148,105.0,14.382239382239383
88244,148,145.0,10.414725069897484
94704,147,128.0,11.878188775510203
43381,147,142.0,10.707099741304972
99920,147,89.0,17.083237789497822
93706,147,134.0,11.346329576606761
59283,147,135.0,11.26228269085412
94485,147,138.0,11.017450458444246
24520,147,100.0,15.204081632653061
67760,147,51.0,29.81192476990796
90528,147,101.0,15.053546170943624
95787,147,75.0,20.272108843537413
87353,147,81.0,18.770471151423532
86437,147,95.0,16.004296455424274
92900,147,100.0,15.204081632653061
24492,147,58.0,26.21393384940183
98777,147,50.0,30.408163265306122
84954,147,126.0,12.066731454486556
81749,147,74.0,20.546056260341974
104296,147,87.0,17.475955899601217
63785,147,131.0,11.606169185231344
97808,147,93.0,16.348474873820496
102962,147,96.0,15.837585034013605
53510,147,125.0,12.163265306122447
95183,147,54.0,28.155706727135296
64838,147,132.0,11.518243661100803
92485,147,76.0,20.00537056928034
92918,147,82.0,18.541562966650073
46124,147,133.0,11.431640325303054
96470,147,120.0,12.670068027210883
102332,146,77.0,19.88080412737947
86434,146,134.0,11.424044162747904
82096,146,53.0,28.883432411475834
82325,146,115.0,13.311494937462776
92072,146,61.0,25.095441275544577
106640,146,138.0,11.092912447885647
46704,146,135.0,11.339421613394217
69893,146,111.0,13.791188448722696
106724,146,107.0,14.306746895403919
86611,146,84.0,18.224070450097848
98389,146,60.0,25.51369863013699
85741,146,110.0,13.916562889165629
48754,146,125.0,12.246575342465754
99785,146,107.0,14.306746895403919
83759,146,111.0,13.791188448722696
23389,146,83.0,18.44363756395445
92911,146,72.0,21.261415525114156
66553,146,141.0,10.856893034100846
85610,146,113.0,13.547096617771851
28094,146,135.0,11.339421613394217
93700,146,83.0,18.44363756395445
52195,146,75.0,20.41095890410959
85311,146,137.0,11.173882611738827
22748,146,130.0,11.77555321390938
83907,146,60.0,25.51369863013699
38274,146,102.0,15.00805801772764
102804,146,100.0,15.308219178082192
70989,146,65.0,23.55110642781876
85044,146,96.0,15.946061643835618
100455,146,106.0,14.441716205737917
106144,146,63.0,24.298760600130464
104984,146,63.0,24.298760600130464
46321,146,73.0,20.97016325764684
99866,146,141.0,10.856893034100846
107629,145,119.0,12.952767313822081
72925,145,70.0,22.019704433497537
76875,145,97.0,15.890508354070388
47818,145,94.0,16.397652237710933
33237,145,135.0,11.417624521072797
103030,145,103.0,14.964847673250754
106803,145,70.0,22.019704433497537
94313,145,107.0,14.40541411537222
72525,145,89.0,17.31886865555986
95019,145,63.0,24.46633825944171
107661,145,96.0,16.056034482758623
94661,145,137.0,11.25094387113013
64509,145,84.0,18.34975369458128
98064,145,71.0,21.7095677513356
95344,145,130.0,11.856763925729444
101891,145,111.0,13.886300093196645
104976,145,146.0,10.55739253660841
103023,145,83.0,18.570835064395514
94792,145,94.0,16.397652237710933
52293,145,138.0,11.169415292353824
102768,145,64.0,24.084051724137932
106051,145,111.0,13.886300093196645
102720,145,83.0,18.570835064395514
14110,144,94.0,16.511524822695034
85977,144,112.0,13.857886904761903
86736,144,144.0,10.778356481481481
97858,144,126.0,12.318121693121693
111950,144,81.0,19.161522633744855
92726,144,85.0,18.259803921568626
104107,144,116.0,13.380028735632184
95295,144,112.0,13.857886904761903
80287,144,58.0,26.760057471264368
102703,144,93.0,16.689068100358423
34976,144,88.0,17.637310606060606
104034,144,137.0,11.329075425790753
85631,144,118.0,13.153248587570621
98015,144,135.0,11.496913580246913
63258,144,98.0,15.837585034013605
19286,144,82.0,18.927845528455283
103249,144,125.0,12.416666666666666
67571,144,88.0,17.637310606060606
62734,144,106.0,14.642295597484276
105949,144,137.0,11.329075425790753
79761,144,66.0,23.516414141414142
91424,144,91.0,17.055860805860807
54757,144,70.0,22.172619047619047
65010,144,122.0,12.721994535519125
88802,144,134.0,11.582711442786069
94440,144,149.0,10.416666666666666
104975,144,88.0,17.637310606060606
100178,144,146.0,10.630707762557076
89199,143,137.0,11.408299729467613
22281,143,144.0,10.853729603729604
108701,143,75.0,20.83916083916084
62612,143,115.0,13.59075706901794
51307,143,57.0,27.419948472580053
74522,143,118.0,13.245229346924264
92102,143,93.0,16.805774870291
83401,143,59.0,26.490458693848527
95909,143,133.0,11.751406488248595
96616,143,50.0,31.25874125874126
106188,143,51.0,30.645824763471825
112187,143,126.0,12.404262404262406
58910,143,141.0,11.084660020830235
87625,143,96.0,16.280594405594407
85154,143,130.0,12.022592791823563
71471,143,118.0,13.245229346924264
72242,143,75.0,20.83916083916084
75182,143,127.0,12.306591046748528
95191,143,134.0,11.663709424903455
59311,143,116.0,13.473595370147095
85805,143,79.0,19.784013454899533
101908,143,86.0,18.17368677833794
107963,143,52.0,30.056481979558903
56391,143,58.0,26.94719074029419
20258,143,68.0,22.98436857260387
77714,143,107.0,14.606888438664141
74371,143,132.0,11.84043229497775
11577,143,121.0,12.916835230884818
112503,143,100.0,15.62937062937063
60214,143,92.0,16.988446336272425
107669,143,115.0,13.59075706901794
38119,143,130.0,12.022592791823563
95020,143,94.0,16.626990031245352
51416,143,65.0,24.045185583647125
87479,143,73.0,21.410096752562506
98834,142,143.0,11.00659903476805
107014,142,82.0,19.1944349020955
95702,142,69.0,22.81077770973668
83874,142,103.0,15.28100642691098
103462,142,98.0,16.06064961195746
86729,142,53.0,29.697050225883604
73369,142,61.0,25.80235511429231
91033,142,97.0,16.226223319297226
75825,142,94.0,16.744081510338628
86482,142,118.0,13.338505609930772
29477,142,70.0,22.484909456740443
69765,142,101.0,15.583600613582485
88722,142,149.0,10.563380281690142
93041,142,82.0,19.1944349020955
71666,142,81.0,19.431403234220138
65372,142,143.0,11.00659903476805
109452,142,113.0,13.928704973202045
105565,142,124.0,12.693094048159928
7413,142,104.0,15.134073672806068
100888,142,143.0,11.00659903476805
101615,142,126.0,12.491616364855801
111093,142,120.0,13.116197183098592
113005,142,80.0,19.674295774647888
102933,142,120.0,13.116197183098592
84447,142,132.0,11.92381562099872
63867,142,107.0,14.709753850204029
99362,142,147.0,10.707099741304972
113227,142,56.0,28.106136820925553
113710,142,66.0,23.84763124199744
77938,142,141.0,11.162721006892419
98611,142,51.0,30.861640430820216
107888,142,76.0,20.709785025945145
79320,142,51.0,30.861640430820216
33517,142,77.0,20.440826778854948
112183,142,76.0,20.709785025945145
107673,142,82.0,19.1944349020955
105770,142,72.0,21.860328638497652
110549,142,69.0,22.81077770973668
62223,141,137.0,11.570119583786301
13915,141,143.0,11.084660020830233
72148,141,59.0,26.86620988099531
39038,141,76.0,20.85666293393057
111876,141,146.0,10.856893034100844
75416,141,120.0,13.209219858156027
76532,141,57.0,27.808883911907426
54682,141,62.0,25.566231983527796
93053,141,142.0,11.162721006892419
91066,141,111.0,14.280237684493002
17057,141,140.0,11.322188449848024
105614,141,135.0,11.741528762805357
88835,141,111.0,14.280237684493002
110307,141,54.0,29.353821907013394
78530,141,118.0,13.433104940497655
113664,141,74.0,21.420356526739504
72133,141,109.0,14.542260394300214
113989,141,112.0,14.15273556231003
86852,141,72.0,22.015366430260045
103772,141,105.0,15.096251266464032
34275,141,133.0,11.918093105103184
114996,141,105.0,15.096251266464032
84779,141,91.0,17.41875146130465
70617,140,82.0,19.468641114982578
26160,140,110.0,14.512987012987011
80941,140,124.0,12.87442396313364
45314,140,50.0,31.928571428571427
94830,140,82.0,19.468641114982578
115438,140,59.0,27.058111380145277
53487,140,140.0,11.403061224489795
113728,140,108.0,14.781746031746032
101216,140,80.0,19.955357142857142
26393,140,119.0,13.415366146458583
116187,140,138.0,11.568322981366459
94807,140,104.0,15.350274725274724
112202,140,67.0,23.8272921108742
93825,140,103.0,15.499306518723994
63681,140,123.0,12.979094076655052
76838,140,100.0,15.964285714285714
95934,140,65.0,24.56043956043956
91048,140,136.0,11.73844537815126
87964,140,141.0,11.322188449848024
107491,140,71.0,22.484909456740443
99879,140,88.0,18.141233766233764
112344,140,132.0,12.094155844155843
57789,140,130.0,12.28021978021978
86353,140,133.0,12.003222341568206
21811,140,88.0,18.141233766233764
41517,140,72.0,22.172619047619047
91216,140,135.0,11.825396825396824
67143,140,111.0,14.382239382239382
84902,140,136.0,11.73844537815126
54272,140,103.0,15.499306518723994
108512,140,129.0,12.375415282392026
115852,140,142.0,11.242454728370221
116316,140,93.0,17.16589861751152
114416,140,145.0,11.009852216748769
108186,140,59.0,27.058111380145277
113007,140,50.0,31.928571428571427
97855,140,52.0,30.70054945054945
112162,139,66.0,24.36232831916285
89025,139,147.0,10.93818822493026
116900,139,148.0,10.864281547734784
69493,139,56.0,28.71274409044193
1035,139,102.0,15.763859500634785
102084,139,99.0,16.241552212775233
69118,139,70.0,22.970195272353543
61261,139,137.0,11.736596124560204
92124,139,110.0,14.61739699149771
117638,139,127.0,12.66073755169093
100937,139,54.0,29.776179056754593
108514,139,136.0,11.822894625476088
72688,139,92.0,17.47732248983422
49004,139,120.0,13.399280575539567
96750,139,116.0,13.861324733316794
104512,139,141.0,11.403643043012398
107187,139,138.0,11.651548326556146
114951,139,83.0,19.37245384415359
56894,139,124.0,12.967045718264098
53115,139,109.0,14.751501551052735
93337,139,68.0,23.645789250952177
91334,139,58.0,27.722649466633587
74828,139,123.0,13.072468854184944
61742,139,147.0,10.93818822493026
105169,139,55.0,29.23479398299542
104203,139,128.0,12.561825539568344
110779,139,72.0,22.332134292565947
84134,139,119.0,13.511879571972672
64920,139,148.0,10.864281547734784
100967,139,66.0,24.36232831916285
99043,139,117.0,13.742851872348274
34011,139,67.0,23.99871147857833
100546,139,87.0,18.481766311089057
97595,139,131.0,12.274150145532428
87318,138,67.0,24.17261518494484
107034,138,111.0,14.590677634155893
111902,138,70.0,23.136645962732917
115372,138,77.0,21.03331451157538
118487,138,145.0,11.169415292353822
20238,138,140.0,11.568322981366459
97972,138,117.0,13.842437755481233
93865,138,124.0,13.061009817671808
95957,138,146.0,11.092912447885645
82019,138,124.0,13.061009817671808
41676,138,141.0,11.48627813752698
86715,138,116.0,13.961769115442278
115324,138,149.0,10.869565217391303
114210,138,136.0,11.90856777493606
109841,138,105.0,15.424430641821946
